X1,X2,Y
0.29,0.10,0.060
0.29,0.30,0.115
0.29,0.50,0.155
0.29,0.75,0.190
0.29,1.00,0.210
0.35,0.20,0.120
0.35,0.40,0.160
0.35,0.60,0.200
0.35,0.80,0.220
0.35,0.10,0.250
0.35,0.75,-1.000
0.41,0.10,0.080
0.41,0.30,0.160
0.41,0.50,0.210
0.41,0.75,0.260
0.41,1.00,0.285
0.50,0.20,0.160
0.50,0.40,0.250
0.50,0.60,0.300
0.50,0.80,0.330
0.59,0.10,0.125
0.59,0.30,0.250
0.59,0.50,0.335
0.59,0.75,0.410
0.59,1.00,0.450
0.65,0.20,0.220
0.65,0.40,0.350
0.65,0.60,0.430
0.65,0.80,0.480
0.71,0.10,0.170
0.71,0.30,0.335
0.71,0.50,0.450
0.71,0.75,0.555
0.71,1.00,0.605
0.82,0.10,0.220
0.82,0.30,0.435
0.82,0.50,0.590
0.82,0.75,0.715
0.82,1.00,0.795
0.85,0.20,0.360
0.85,0.40,0.560
0.85,0.60,0.690
0.85,0.80,0.780
0.88,0.10,0.250
0.88,0.30,0.490
0.88,0.50,0.660
0.88,0.75,0.800
0.88,1.00,0.890
0.88,0.10,0.252
0.88,0.30,0.488
0.88,0.50,0.661
0.88,0.75,0.802
0.88,1.00,0.889
0.94,0.10,0.270
0.94,0.30,0.535
0.94,0.50,0.720
0.94,0.75,0.870
0.94,1.00,0.970
0.94,0.80,0.250
0.94,0.40,-1.000
0.97,0.10,0.275
0.97,0.30,0.545
0.97,0.50,0.735
0.97,0.75,0.895
0.97,1.00,0.995
1.00,0.10,0.280
1.00,0.30,0.550
1.00,0.50,0.740
1.00,0.75,0.900
1.00,1.00,1.000
