X1,X2,Y
0.29,0.1,0.06
0.29,0.3,0.115
0.29,0.5,0.155
0.29,0.75,0.19
0.29,1.0,0.21
0.35,0.2,0.12
0.35,0.4,0.16
0.35,0.6,0.2
0.35,0.8,0.22
0.41,0.1,0.08
0.41,0.3,0.16
0.41,0.5,0.21
0.41,0.75,0.26
0.41,1.0,0.285
0.5,0.2,0.16
0.5,0.4,0.25
0.5,0.6,0.3
0.5,0.8,0.33
0.59,0.1,0.125
0.59,0.3,0.25
0.59,0.5,0.335
0.59,0.75,0.41
0.59,1.0,0.45
0.65,0.2,0.22
0.65,0.4,0.35
0.65,0.6,0.43
0.65,0.8,0.48
0.71,0.1,0.17
0.71,0.3,0.335
0.71,0.5,0.45
0.71,0.75,0.555
0.71,1.0,0.605
0.82,0.1,0.22
0.82,0.3,0.435
0.82,0.5,0.59
0.82,0.75,0.715
0.82,1.0,0.795
0.85,0.2,0.36
0.85,0.4,0.56
0.85,0.6,0.69
0.85,0.8,0.78
0.88,0.1,0.25
0.88,0.3,0.49
0.88,0.5,0.66
0.88,0.75,0.8
0.88,1.0,0.89
0.94,0.1,0.27
0.94,0.3,0.535
0.94,0.5,0.72
0.94,0.75,0.87
0.94,1.0,0.97
0.97,0.1,0.275
0.97,0.3,0.545
0.97,0.5,0.735
0.97,0.75,0.895
0.97,1.0,0.995
1.0,0.1,0.28
1.0,0.3,0.55
1.0,0.5,0.74
1.0,0.75,0.9
1.0,1.0,1.0
