X1,X2,Y
0.3,0.1,0.05
0.4,0.1,0.1
0.5,0.1,0.5
0.6,0.1,0.125
0.7,0.1,0.15
0.8,0.1,0.2
0.9,0.1,0.25
0.9,0.1,0.255
0.95,0.1,0.275
0.97,0.1,0.28
1,0.1,0.3
0.35,0.2,0.1
0.5,0.2,0.15
0.65,0.2,0.2
0.7,0.2,-1
0.85,0.2,0.35
0.3,0.3,0.1
0.4,0.3,0.15
0.6,0.3,0.25
0.7,0.3,0.35
0.8,0.3,0.45
0.9,0.3,0.5
0.9,0.3,0.45
0.95,0.3,0.55
0.97,0.3,0.575
1,0.3,0.6
0.35,0.4,0.15
0.5,0.4,0.25
0.65,0.4,0.35
0.85,0.4,0.55
0.3,0.5,0.15
0.4,0.5,0.2
0.6,0.5,0.35
0.7,0.5,0.45
0.8,0.5,0.6
0.9,0.5,0.65
0.9,0.5,0.655
0.95,0.5,0.7
0.97,0.5,0.725
1,0.5,0.75
0.35,0.6,0.2
0.5,0.6,0.3
0.65,0.6,0.45
0.85,0.6,0.7
0.3,0.75,0.2
0.4,0.75,0.3
0.5,0.75,-1
0.6,0.75,0.4
0.7,0.75,0.6
0.8,0.75,0.7
0.9,0.75,0.8
0.9,0.75,0.805
0.95,0.75,0.85
0.97,0.75,0.9
1,0.75,0.95
0.35,0.8,0.25
0.5,0.8,0.35
0.65,0.8,0.5
0.85,0.8,0.75
0.97,0.8,0.5
0.3,1,0.25
0.4,1,0.35
0.6,1,0.45
0.7,1,0.65
0.8,1,0.8
0.9,1,0.9
0.9,1,0.895
0.95,1,0.95
0.97,1,0.975
1,1,1
